date,project,source,campaign,campaign_id,impressions,clicks,cost,conversions,revenue
2024-11-11,Rossi,yandex,R1,12345678,1360,160,5600,6,13800
2024-11-12,Rossi,yandex,R1,12345678,1340,157,5450,5,12100
2024-11-13,Rossi,yandex,R1,12345678,1380,162,5700,6,14000
2024-11-14,Rossi,yandex,R1,12345678,1370,161,5650,5,12300
2024-11-15,Rossi,yandex,R1,12345678,1400,165,5800,6,14200
2024-11-16,Rossi,yandex,R1,12345678,1390,163,5750,5,12500
2024-11-17,Rossi,yandex,R1,12345678,1410,166,5900,6,14500
2024-11-18,Rossi,yandex,R1,12345678.1400,164,5850,5,12800
2024-11-19,Rossi,yandex,R1,12345678,1420,168,6000,6,14800
2024-11-20,Rossi,yandex,R1,12345678,1415,167,5950,5,12600
2024-11-21,Rossi,yandex,R1,12345678,1430,170,6100,6,15000
2024-11-22,Rossi,yandex,R1,12345678,1425,169,6050,5,12900
2024-11-23,Rossi,yandex,R1,12345678,1440,172,6200,6,15200
2024-11-24,Rossi,yandex,R1,12345678,1435,171,6150,5,13100
2024-11-25,Rossi,yandex,R1,12345678,1450,174,6300,6,15500
2024-11-26,Rossi,yandex,R1,12345678,1445,173,6250,5,13000
2024-11-27,Rossi,yandex,R1,12345678,1460,176,6400,6,15800
2024-11-28,Rossi,yandex,R1,12345678,1455,175,6350,5,13300
2024-11-29,Rossi,yandex,R1,12345678,1470,178,6500,6,16000
2024-11-30,Rossi,yandex,R1,12345678,1465,177,6450,5,13200
2024-12-01,Rossi,yandex,R1,12345678,1480,180,6600,6,16200
2024-12-02,Rossi,yandex,R1,12345678,1475,179,6550,5,13400
2024-12-03,Rossi,yandex,R1,12345678,1490,182,6700,6,16500
2024-12-04,Rossi,yandex,R1,12345678,1485,181,6650,5,13500
2024-12-05,Rossi,yandex,R1,12345678,1500,185,6900,7,18000
2024-12-06,Rossi,yandex,R1,12345678,1495,183,6750,6,16800
2024-12-07,Rossi,yandex,R1,12345678,1510,187,7000,7,18200
2024-12-08,Rossi,yandex,R1,12345678,1505,186,6850,6,17000
2024-12-09,Rossi,yandex,R1,12345678,1520,190,7100,7,18500
2024-12-10,Rossi,yandex,R1,12345678,1515,189,7050,6,17200
2024-12-11,Rossi,yandex,R1,12345678,1530,192,7200,7,18800
2024-12-12,Rossi,yandex,R1,12345678,1525,191,7150,6,17500
2024-12-13,Rossi,yandex,R1,12345678,1540,195,7300,7,19000
2024-12-14,Rossi,yandex,R1,12345678,1535,194,7250,6,17800
2024-12-15,Rossi,yandex,R1,12345678,1550,198,7400,8,20500
2024-11-01,Solodent,yandex,S1,87654321,1500,180,4200,6,14000
2024-11-02,Solodent,yandex,S1,87654321,1520,185,4300,5,12500
2024-11-03,Solodent,yandex,S1,87654321,1510,182,4250,6,14200
2024-11-04,Solodent,yandex,S1,87654321,1530,188,4400,5,12800
2024-11-05,Solodent,yandex,S1,87654321,1525,186,4350,6,14500
2024-11-06,Solodent,yandex,S1,87654321,1540,190,4500,5,13000
2024-11-07,Solodent,yandex,S1,87654321,1535,188,4450,6,14800
2024-11-08,Solodent,yandex,S1,87654321,1550,192,4600,5,13200
2024-11-09,Solodent,yandex,S1,87654321,1545,190,4550,6,15000
